"city","city_targeting_tag","cluster_name","cluster_targeting_tag"
Abad Kuliadanga,CITY_ABAD_KULIADANGA,Kolkata,CLUSTER_KOL
Adavale Budruk,CITY_ADAVALE_BUDRUK,Mumbai,CLUSTER_MUM
Adraspalli,CITY_ADRASPALLI,Hyderabad,CLUSTER_HYD
Adyar,CITY_ADYAR,Chennai,CLUSTER_CHE
Agapalli,CITY_AGAPALLI,Hyderabad,CLUSTER_HYD
Akanda Danga,CITY_AKANDA_DANGA,Kolkata,CLUSTER_KOL
Alandi,CITY_ALANDI,Pune,CLUSTER_PUN
Alandur,CITY_ALANDUR,Chennai,CLUSTER_CHE
Alibag,CITY_ALIBAG,Mumbai,CLUSTER_MUM
Alipore,CITY_ALIPORE,Kolkata,CLUSTER_KOL
Alipur,CITY_ALIPUR,Delhi NCR,CLUSTER_NCR
Allapur,CITY_ALLAPUR,Hyderabad,CLUSTER_HYD
Alwal,CITY_ALWAL,Hyderabad,CLUSTER_HYD
Ambattur,CITY_AMBATTUR,Chennai,CLUSTER_CHE
Amtem,CITY_AMTEM,Mumbai,CLUSTER_MUM
Andheri,CITY_ANDHERI,Mumbai,CLUSTER_MUM
Anekal,CITY_ANEKAL,Bangalore,CLUSTER_BEN
Annaram,CITY_ANNARAM,Hyderabad,CLUSTER_HYD
Apta,CITY_APTA,Mumbai,CLUSTER_MUM
Aundh,CITY_AUNDH,Pune,CLUSTER_PUN
Avadi,CITY_AVADI,Chennai,CLUSTER_CHE
Badarpur,CITY_BADARPUR,Delhi NCR,CLUSTER_NCR
Bagalur,CITY_BAGALUR,Bangalore,CLUSTER_BEN
Baghpat,CITY_BAGHPAT,Delhi NCR,CLUSTER_NCR
Bagnan,CITY_BAGNAN,Kolkata,CLUSTER_KOL
Bahadurgarh,CITY_BAHADURGARH,Delhi NCR,CLUSTER_NCR
Baidyabati,CITY_BAIDYABATI,Kolkata,CLUSTER_KOL
Ballabgarh,CITY_BALLABGARH,Delhi NCR,CLUSTER_NCR
Bally,CITY_BALLY,Kolkata,CLUSTER_KOL
Bangalore,CITY_BANGALORE,Bangalore,CLUSTER_BEN
Bankra,CITY_BANKRA,Kolkata,CLUSTER_KOL
Baranagar,CITY_BARANAGAR,Kolkata,CLUSTER_KOL
Barasat,CITY_BARASAT,Kolkata,CLUSTER_KOL
Barrackpore,CITY_BARRACKPORE,Kolkata,CLUSTER_KOL
Barrackpore RS,CITY_BARRACKPORE_RS,Kolkata,CLUSTER_KOL
Baruipur,CITY_BARUIPUR,Kolkata,CLUSTER_KOL
Bawana,CITY_BAWANA,Delhi NCR,CLUSTER_NCR
Begampet,CITY_BEGAMPET,Hyderabad,CLUSTER_HYD
Begampur,CITY_BEGAMPUR,Kolkata,CLUSTER_KOL
Behala,CITY_BEHALA,Kolkata,CLUSTER_KOL
Belapur,CITY_BELAPUR,Mumbai,CLUSTER_MUM
Belgharia,CITY_BELGHARIA,Kolkata,CLUSTER_KOL
Bhiwandi,CITY_BHIWANDI,Mumbai,CLUSTER_MUM
Bhongir,CITY_BHONGIR,Hyderabad,CLUSTER_HYD
Bhor,CITY_BHOR,Pune,CLUSTER_PUN
Bidadi,CITY_BIDADI,Bangalore,CLUSTER_BEN
Bidhannagar,CITY_BIDHANNAGAR,Kolkata,CLUSTER_KOL
Boisar,CITY_BOISAR,Mumbai,CLUSTER_MUM
Calcutta,CITY_CALCUTTA,Kolkata,CLUSTER_KOL
Chakan,CITY_CHAKAN,Pune,CLUSTER_PUN
Chakpanchuria,CITY_CHAKPANCHURIA,Kolkata,CLUSTER_KOL
Chandanagar,CITY_CHANDANAGAR,Hyderabad,CLUSTER_HYD
Chandannagar,CITY_CHANDANNAGAR,Kolkata,CLUSTER_KOL
Chandra,CITY_CHANDRA,Kolkata,CLUSTER_KOL
Channapatna,CITY_CHANNAPATNA,Bangalore,CLUSTER_BEN
Chattarpur,CITY_CHATTARPUR,Delhi NCR,CLUSTER_NCR
Chennai,CITY_CHENNAI,Chennai,CLUSTER_CHE
Chetput,CITY_CHETPUT,Chennai,CLUSTER_CHE
Chinchwad,CITY_CHINCHWAD,Pune,CLUSTER_PUN
Choolai,CITY_CHOOLAI,Chennai,CLUSTER_CHE
Chromepet,CITY_CHROMEPET,Chennai,CLUSTER_CHE
Colaba,CITY_COLABA,Mumbai,CLUSTER_MUM
Connaught Place,CITY_CONNAUGHT_PLACE,Delhi NCR,CLUSTER_NCR
Dadri,CITY_DADRI,Delhi NCR,CLUSTER_NCR
Dahanu,CITY_DAHANU,Mumbai,CLUSTER_MUM
Darya Ganj,CITY_DARYA_GANJ,Delhi NCR,CLUSTER_NCR
Dasna,CITY_DASNA,Delhi NCR,CLUSTER_NCR
Daund,CITY_DAUND,Pune,CLUSTER_PUN
Delhi,CITY_DELHI,Delhi NCR,CLUSTER_NCR
Dhapa,CITY_DHAPA,Kolkata,CLUSTER_KOL
Dharavi,CITY_DHARAVI,Mumbai,CLUSTER_MUM
Faridabad City,CITY_FARIDABAD_CITY,Delhi NCR,CLUSTER_NCR
Gachibowli,CITY_GACHIBOWLI,Hyderabad,CLUSTER_HYD
Gandipet,CITY_GANDIPET,Hyderabad,CLUSTER_HYD
Ganganagar,CITY_GANGANAGAR,Kolkata,CLUSTER_KOL
Gangaram,CITY_GANGARAM,Hyderabad,CLUSTER_HYD
Gautam Buddha Nagar,CITY_GAUTAM_BUDDHA_NAGAR,Delhi NCR,CLUSTER_NCR
Ghansoli,CITY_GHANSOLI,Mumbai,CLUSTER_MUM
Ghaziabad,CITY_GHAZIABAD,Delhi NCR,CLUSTER_NCR
Goregaon,CITY_GOREGAON,Mumbai,CLUSTER_MUM
Gudur,CITY_GUDUR,Hyderabad,CLUSTER_HYD
Gummidipundi,CITY_GUMMIDIPUNDI,Chennai,CLUSTER_CHE
Gurgaon,CITY_GURGAON,Delhi NCR,CLUSTER_NCR
Habra,CITY_HABRA,Kolkata,CLUSTER_KOL
Halishahar,CITY_HALISHAHAR,Kolkata,CLUSTER_KOL
Haripal,CITY_HARIPAL,Kolkata,CLUSTER_KOL
Hasnabad,CITY_HASNABAD,Kolkata,CLUSTER_KOL
Hatiara,CITY_HATIARA,Kolkata,CLUSTER_KOL
Hooghly,CITY_HOOGHLY,Kolkata,CLUSTER_KOL
Hoskote,CITY_HOSKOTE,Bangalore,CLUSTER_BEN
Hosur,CITY_HOSUR,Bangalore,CLUSTER_BEN
Howrah,CITY_HOWRAH,Kolkata,CLUSTER_KOL
Hridaypur,CITY_HRIDAYPUR,Kolkata,CLUSTER_KOL
Hyderabad,CITY_HYDERABAD,Hyderabad,CLUSTER_HYD
Jangaon,CITY_JANGAON,Hyderabad,CLUSTER_HYD
Jaskhar,CITY_JASKHAR,Mumbai,CLUSTER_MUM
Jejuri,CITY_JEJURI,Pune,CLUSTER_PUN
Jhajjar,CITY_JHAJJAR,Delhi NCR,CLUSTER_NCR
Jharoda Kalan,CITY_JHARODA_KALAN,Delhi NCR,CLUSTER_NCR
Juhu,CITY_JUHU,Mumbai,CLUSTER_MUM
Kalkaji,CITY_KALKAJI,Delhi NCR,CLUSTER_NCR
Kalwa,CITY_KALWA,Mumbai,CLUSTER_MUM
Kalyan City,CITY_KALYAN_CITY,Mumbai,CLUSTER_MUM
Kalyani,CITY_KALYANI,Kolkata,CLUSTER_KOL
Kamarhati,CITY_KAMARHATI,Kolkata,CLUSTER_KOL
Kanakapura,CITY_KANAKAPURA,Bangalore,CLUSTER_BEN
Kanchipuram,CITY_KANCHIPURAM,Chennai,CLUSTER_CHE
Karjat,CITY_KARJAT,Mumbai,CLUSTER_MUM
Karol Bagh,CITY_KAROL_BAGH,Delhi NCR,CLUSTER_NCR
Kengeri,CITY_KENGERI,Bangalore,CLUSTER_BEN
Khadki,CITY_KHADKI,Pune,CLUSTER_PUN
Khalapur,CITY_KHALAPUR,Mumbai,CLUSTER_MUM
Khekra,CITY_KHEKRA,Delhi NCR,CLUSTER_NCR
Khopoli,CITY_KHOPOLI,Mumbai,CLUSTER_MUM
Kilpauk,CITY_KILPAUK,Chennai,CLUSTER_CHE
Kodambakkam,CITY_KODAMBAKKAM,Chennai,CLUSTER_CHE
Konnagar,CITY_KONNAGAR,Kolkata,CLUSTER_KOL
Korachandigarh,CITY_KORACHANDIGARH,Kolkata,CLUSTER_KOL
Koregaon,CITY_KOREGAON,Pune,CLUSTER_PUN
Krishnapur,CITY_KRISHNAPUR,Kolkata,CLUSTER_KOL
Kukatpally,CITY_KUKATPALLY,Hyderabad,CLUSTER_HYD
Kurla,CITY_KURLA,Mumbai,CLUSTER_MUM
Loni,CITY_LONI,Delhi NCR,CLUSTER_NCR
Loni Kalbhor,CITY_LONI_KALBHOR,Pune,CLUSTER_PUN
Madanpur,CITY_MADANPUR,Kolkata,CLUSTER_KOL
Madh,CITY_MADH,Mumbai,CLUSTER_MUM
Madipakkam,CITY_MADIPAKKAM,Chennai,CLUSTER_CHE
Magadi,CITY_MAGADI,Bangalore,CLUSTER_BEN
Mahbubnagar,CITY_MAHBUBNAGAR,Hyderabad,CLUSTER_HYD
Mahim,CITY_MAHIM,Mumbai,CLUSTER_MUM
Malad,CITY_MALAD,Mumbai,CLUSTER_MUM
Malur,CITY_MALUR,Bangalore,CLUSTER_BEN
Manchar,CITY_MANCHAR,Pune,CLUSTER_PUN
Manovikasnagar,CITY_MANOVIKASNAGAR,Hyderabad,CLUSTER_HYD
Medak,CITY_MEDAK,Hyderabad,CLUSTER_HYD
Medchal,CITY_MEDCHAL,Hyderabad,CLUSTER_HYD
Mehrauli,CITY_MEHRAULI,Delhi NCR,CLUSTER_NCR
Michealnagar,CITY_MICHEALNAGAR,Kolkata,CLUSTER_KOL
Mumbai,CITY_MUMBAI,Mumbai,CLUSTER_MUM
Mylapore,CITY_MYLAPORE,Chennai,CLUSTER_CHE
Naihati,CITY_NAIHATI,Kolkata,CLUSTER_KOL
Najafgarh,CITY_NAJAFGARH,Delhi NCR,CLUSTER_NCR
Nandi,CITY_NANDI,Bangalore,CLUSTER_BEN
Narela,CITY_NARELA,Delhi NCR,CLUSTER_NCR
Narsapur,CITY_NARSAPUR,Hyderabad,CLUSTER_HYD
Navalur,CITY_NAVALUR,Chennai,CLUSTER_CHE
Nelamangala,CITY_NELAMANGALA,Bangalore,CLUSTER_BEN
Neral,CITY_NERAL,Mumbai,CLUSTER_MUM
New Delhi,CITY_NEW_DELHI,Delhi NCR,CLUSTER_NCR
New Town,CITY_NEW_TOWN,Kolkata,CLUSTER_KOL
Nimta,CITY_NIMTA,Kolkata,CLUSTER_KOL
Nisa Hakimpet,CITY_NISA_HAKIMPET,Hyderabad,CLUSTER_HYD
Nizampet,CITY_NIZAMPET,Hyderabad,CLUSTER_HYD
Noida,CITY_NOIDA,Delhi NCR,CLUSTER_NCR
Nungambakkam,CITY_NUNGAMBAKKAM,Chennai,CLUSTER_CHE
Palghar,CITY_PALGHAR,Mumbai,CLUSTER_MUM
Pallavaram,CITY_PALLAVARAM,Chennai,CLUSTER_CHE
Panvel,CITY_PANVEL,Mumbai,CLUSTER_MUM
Parel,CITY_PAREL,Mumbai,CLUSTER_MUM
Patancheru,CITY_PATANCHERU,Hyderabad,CLUSTER_HYD
Perambur,CITY_PERAMBUR,Chennai,CLUSTER_CHE
Perungudi,CITY_PERUNGUDI,Chennai,CLUSTER_CHE
Pimple,CITY_PIMPLE,Pune,CLUSTER_PUN
Pirangut,CITY_PIRANGUT,Pune,CLUSTER_PUN
Ponneri,CITY_PONNERI,Chennai,CLUSTER_CHE
Poonamallee,CITY_POONAMALLEE,Chennai,CLUSTER_CHE
Porur,CITY_PORUR,Chennai,CLUSTER_CHE
Pudur,CITY_PUDUR,Chennai,CLUSTER_CHE
Pune,CITY_PUNE,Pune,CLUSTER_PUN
Rajarhat Gopalpur,CITY_RAJARHAT_GOPALPUR,Kolkata,CLUSTER_KOL
Rajgurunagar,CITY_RAJGURUNAGAR,Pune,CLUSTER_PUN
Rishra,CITY_RISHRA,Kolkata,CLUSTER_KOL
Royapettah,CITY_ROYAPETTAH,Chennai,CLUSTER_CHE
Sahibabad,CITY_SAHIBABAD,Delhi NCR,CLUSTER_NCR
Sainikpuri,CITY_SAINIKPURI,Hyderabad,CLUSTER_HYD
Samalkha,CITY_SAMALKHA,Delhi NCR,CLUSTER_NCR
Sampla,CITY_SAMPLA,Delhi NCR,CLUSTER_NCR
Sanpada,CITY_SANPADA,Mumbai,CLUSTER_MUM
Santosh Pur,CITY_SANTOSH_PUR,Kolkata,CLUSTER_KOL
Sarada,CITY_SARADA,Kolkata,CLUSTER_KOL
Sarjapur,CITY_SARJAPUR,Bangalore,CLUSTER_BEN
Sector 4,CITY_SECTOR_4,Delhi NCR,CLUSTER_NCR
Secunderabad,CITY_SECUNDERABAD,Hyderabad,CLUSTER_HYD
Serampore,CITY_SERAMPORE,Kolkata,CLUSTER_KOL
Sewri,CITY_SEWRI,Mumbai,CLUSTER_MUM
Shadnagar,CITY_SHADNAGAR,Hyderabad,CLUSTER_HYD
Shahdara,CITY_SHAHDARA,Delhi NCR,CLUSTER_NCR
Shirwal,CITY_SHIRWAL,Pune,CLUSTER_PUN
Shyamnagar,CITY_SHYAMNAGAR,Kolkata,CLUSTER_KOL
Siddipet,CITY_SIDDIPET,Hyderabad,CLUSTER_HYD
Sidlaghatta,CITY_SIDLAGHATTA,Bangalore,CLUSTER_BEN
Sikandrabad,CITY_SIKANDRABAD,Delhi NCR,CLUSTER_NCR
Sion,CITY_SION,Mumbai,CLUSTER_MUM
Sohna,CITY_SOHNA,Delhi NCR,CLUSTER_NCR
Sonipat,CITY_SONIPAT,Delhi NCR,CLUSTER_NCR
Sriperumbudur,CITY_SRIPERUMBUDUR,Chennai,CLUSTER_CHE
Srirampur,CITY_SRIRAMPUR,Kolkata,CLUSTER_KOL
Subhas Gram,CITY_SUBHAS_GRAM,Kolkata,CLUSTER_KOL
Sultanganj,CITY_SULTANGANJ,Kolkata,CLUSTER_KOL
Talegaon Dabhade,CITY_TALEGAON_DABHADE,Pune,CLUSTER_PUN
Tambaram,CITY_TAMBARAM,Chennai,CLUSTER_CHE
Tardeo,CITY_TARDEO,Mumbai,CLUSTER_MUM
Teynampet,CITY_TEYNAMPET,Chennai,CLUSTER_CHE
Thane,CITY_THANE,Mumbai,CLUSTER_MUM
Tiruvallur,CITY_TIRUVALLUR,Chennai,CLUSTER_CHE
Tiruvottiyur,CITY_TIRUVOTTIYUR,Chennai,CLUSTER_CHE
Tollygunge,CITY_TOLLYGUNGE,Kolkata,CLUSTER_KOL
Trimulgherry,CITY_TRIMULGHERRY,Hyderabad,CLUSTER_HYD
Trombay,CITY_TROMBAY,Mumbai,CLUSTER_MUM
Tumkur,CITY_TUMKUR,Bangalore,CLUSTER_BEN
Ulhasnagar,CITY_ULHASNAGAR,Mumbai,CLUSTER_MUM
Uluberia,CITY_ULUBERIA,Kolkata,CLUSTER_KOL
Uttarpara,CITY_UTTARPARA,Kolkata,CLUSTER_KOL
Vadapalani,CITY_VADAPALANI,Chennai,CLUSTER_CHE
Vadgaon,CITY_VADGAON,Pune,CLUSTER_PUN
Vandalur,CITY_VANDALUR,Chennai,CLUSTER_CHE
Vashi,CITY_VASHI,Mumbai,CLUSTER_MUM
Vikarabad,CITY_VIKARABAD,Hyderabad,CLUSTER_HYD
Vikhroli,CITY_VIKHROLI,Mumbai,CLUSTER_MUM
Villivakkam,CITY_VILLIVAKKAM,Chennai,CLUSTER_CHE
Virar,CITY_VIRAR,Mumbai,CLUSTER_MUM
Wadala,CITY_WADALA,Mumbai,CLUSTER_MUM
Whitefield,CITY_WHITEFIELD,Bangalore,CLUSTER_BEN
Worli,CITY_WORLI,Mumbai,CLUSTER_MUM
Yelahanka,CITY_YELAHANKA,Bangalore,CLUSTER_BEN
