city,cluster_list,pulse_state_code,needed_in_cluster,,,"For NA, remove from cluster"
krishnanagar,"['chennai', 'calcuta']",wb,calcuta,,,
kannur,"['chennai', 'hyd', 'banglore']",kl,NA,,,
gandhinagar,"['chennai', 'hyd', 'banglore']",gj,NA,,,
ramakrishnapuram,"['chennai', 'hyd']",ap,hyd,,,
porur,"['chennai', 'hyd']",tn,chennai,,,
nehrunagar,"['chennai', 'hyd', 'pune']",mh,pune,,,
ashoknagar,"['chennai', 'hyd', 'banglore']",ka,banglore,,,
krishnapuram,"['chennai', 'hyd']",ap,hyd,,,
radhanagar,"['chennai', 'calcuta']",wb,calcuta,,,
nagar,"['chennai', 'calcuta']",up,NA,,,
venkatapuram,"['chennai', 'hyd']",ap,hyd,,,
ratnagiri,"['chennai', 'hyd']",mh,NA,,,
nandanam,"['chennai', 'hyd']",tn,chennai,,,
gopalapuram,"['chennai', 'hyd']",ap,hyd,,,
rajajinagar,"['chennai', 'banglore']",tn,chennai,,,
madhavaram,"['chennai', 'hyd']",tn,chennai,,,
ramapuram,"['chennai', 'hyd']",ts,hyd,,,
lakshmipuram,"['chennai', 'hyd']",ap,hyd,,,
nallur,"['chennai', 'hyd']",tn,chennai,,,
kallur,"['chennai', 'hyd', 'banglore']",ts,hyd,,,
kasba,"['chennai', 'hyd', 'pune', 'calcuta']",wb,calcuta,,,
vallur,"['chennai', 'hyd', 'banglore']",tn,chennai,,,
rangapuram,"['chennai', 'hyd']",ap,hyd,,,
rampur,"['hyd', 'pune', 'calcuta']",wb,calcuta,,,
alampur,"['hyd', 'calcuta']",wb,calcuta,,,
gopalpur,"['hyd', 'pune', 'delhi', 'calcuta']",wb,calcuta,,,
srinagar,"['hyd', 'calcuta']",jk,NA,,,
ramnagar,"['hyd', 'mumbai', 'calcuta']",wb,calcuta,,,
saidabad,"['hyd', 'calcuta']",ts,hyd,,,
mirzapur,"['hyd', 'delhi']",up,NA,,,
sultanpur,"['hyd', 'pune', 'delhi', 'calcuta']",wb,calcuta,,,
krishnapur,"['hyd', 'calcuta']",wb,calcuta,,,
raghunathpur,"['hyd', 'calcuta']",wb,calcuta,,,
narayanpur,"['hyd', 'calcuta']",wb,calcuta,,,
rajapur,"['hyd', 'pune', 'mumbai', 'delhi', 'calcuta']",wb,calcuta,,,
kandi,"['hyd', 'calcuta']",wb,calcuta,,,
khanapur,"['hyd', 'pune']",ts,hyd,,,
jalalpur,"['hyd', 'pune', 'delhi', 'calcuta']",up,NA,,,
gazipur,"['hyd', 'calcuta']",wb,calcuta,,,
kalyani,"['hyd', 'calcuta']",wb,calcuta,,,
bhimpur,"['hyd', 'calcuta']",wb,calcuta,,,
dharmapuri,"['hyd', 'pune']",tn,NA,,,
vidyanagar,"['hyd', 'pune']",ts,hyd,,,
gangapur,"['hyd', 'pune', 'mumbai']",up,NA,,,
hasnabad,"['hyd', 'calcuta']",mp,NA,,,
islampur,"['hyd', 'pune']",wb,calcuta,,,
malkapur,"['hyd', 'pune']",mh,pune,,,
sonari,"['hyd', 'pune']",jh,NA,,,
nirmal,"['hyd', 'mumbai']",ts,hyd,,,
chincholi,"['hyd', 'pune', 'mumbai']",mh,pune,,,
nagapur,"['hyd', 'mumbai']",mh,mumbai,,,
saidpur,"['hyd', 'delhi']",up,NA,,,
nizampur,"['hyd', 'mumbai', 'delhi']",hr,delhi,,,
mandra,"['hyd', 'calcuta']",wb,calcuta,,,
chandi,"['hyd', 'calcuta']",ts,hyd,,,
saidapur,"['hyd', 'pune']",ka,NA,,,
devapur,"['hyd', 'pune']",ts,hyd,,,
basar,"['hyd', 'calcuta']",ts,hyd,,,
dharmaram,"['hyd', 'banglore']",ts,hyd,,,
mardi,"['hyd', 'pune']",mh,pune,,,
sangvi,"['hyd', 'pune']",mh,pune,,,
hasnapur,"['hyd', 'pune']",ts,hyd,,,
sripur,"['hyd', 'calcuta']",wb,calcuta,,,
karanji,"['hyd', 'pune']",mh,pune,,,
kothur,"['hyd', 'banglore']",ts,hyd,,,
shapur,"['hyd', 'pune', 'banglore', 'delhi']",ts,hyd,,,
degaon,"['hyd', 'pune', 'mumbai']",mh,NA,,,
kamalpur,"['pune', 'calcuta']",pb,NA,,,
loni,"['pune', 'delhi']",up,NA,,,
vadgaon,"['pune', 'mumbai']",mh,pune,,,
gondegaon,"['pune', 'mumbai']",mh,NA,,,
pathardi,"['pune', 'mumbai']",mh,NA,,,
borgaon,"['pune', 'mumbai']",mh,NA,,,
shirgaon,"['pune', 'mumbai']",mh,NA,,,
jalgaon,"['pune', 'mumbai']",mh,NA,,,
khadki,"['pune', 'mumbai']",mh,pune,,,
dongargaon,"['pune', 'mumbai']",mh,NA,,,
mahim,"['pune', 'mumbai']",mh,mumbai,,,
rajpur,"['pune', 'delhi']",gj,NA,,,
tarapur,"['pune', 'mumbai', 'calcuta']",gj,NA,,,
nandgaon,"['pune', 'mumbai']",mh,NA,,,
wadgaon,"['pune', 'mumbai']",mh,NA,,,
khardi,"['pune', 'mumbai']",mh,NA,,,
khed,"['pune', 'mumbai']",mh,NA,,,
mandvi,"['pune', 'mumbai']",gj,NA,,,
deogaon,"['pune', 'mumbai']",od,NA,,,
malegaon,"['pune', 'mumbai']",mh,NA,,,
karjat,"['pune', 'mumbai']",mh,mumbai,,,
dhamangaon,"['pune', 'mumbai']",mh,NA,,,
chas,"['pune', 'mumbai']",jh,NA,,,
mangrul,"['pune', 'mumbai']",mh,NA,,,
dahivad,"['pune', 'mumbai']",mh,NA,,,
pimpri,"['pune', 'mumbai']",mh,pune,,,
patole,"['pune', 'mumbai']",mh,NA,,,
bari,"['pune', 'delhi']",hp,NA,,,
asangaon,"['pune', 'mumbai']",mh,mumbai,,,
chinchani,"['pune', 'mumbai']",mh,NA,,,
palashi,"['pune', 'calcuta']",wb,calcuta,,,
waki,"['pune', 'mumbai']",mh,NA,,,
pargaon,"['pune', 'mumbai']",mh,pune,,,
naigaon,"['pune', 'mumbai']",mh,mumbai,,,
chande,"['pune', 'mumbai']",mh,NA,,,
dahigaon,"['pune', 'mumbai']",mh,NA,,,
rajewadi,"['pune', 'mumbai']",mh,pune,,,
medha,"['pune', 'mumbai']",mh,pune,,,
pimpalgaon,"['pune', 'mumbai']",mh,NA,,,
mamdapur,"['pune', 'mumbai']",mh,NA,,,
jamgaon,"['pune', 'mumbai']",mh,NA,,,
manegaon,"['pune', 'mumbai']",mh,NA,,,
raipur,"['mumbai', 'calcuta']",cg,NA,,,
pali,"['mumbai', 'delhi']",mh,mumbai,,,
shivaji nagar,"['mumbai', 'delhi']",mh,NA,,,
dwarka,"['mumbai', 'calcuta']",wb,calcuta,,,
nagari,"['mumbai', 'calcuta']",ap,NA,,,
bhatgaon,"['mumbai', 'delhi']",cg,NA,,,
chandpur,"['delhi', 'calcuta']",wb,calcuta,,,
khanpur,"['delhi', 'calcuta']",wb,calcuta,,,
faridpur,"['delhi', 'calcuta']",wb,calcuta,,,
sherpur,"['delhi', 'calcuta']",br,calcuta,,,
bilaspur,"['delhi', 'calcuta']",wb,calcuta,,,
basantpur,"['delhi', 'calcuta']",od,NA,,,
hasanpur,"['delhi', 'calcuta']",br,calcuta,,,
bali,"['delhi', 'calcuta']",wb,calcuta,,,
sadarpur,"['delhi', 'calcuta']",wb,calcuta,,,
damdama,"['delhi', 'calcuta']",wb,calcuta,,,
kundal,"['delhi', 'calcuta']",rj,NA,,,